OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Persons who reported having private health insurance (no.) (Data year: 2022),Persons with disability (no.) (Data year: 2018),Persons with disability (%) (Data year: 2018),Persons with profound/severe core activity limitation (no.) (Data year: 2018),Persons with profound/severe core activity limitation (%) (Data year: 2018),Persons with moderate/mild core activity limitation (no.) (Data year: 2018),Persons with moderate/mild core activity limitation (%) (Data year: 2018),Persons who are carers (no.) (Data year: 2018),Persons who are carers (%) (Data year: 2018),Persons aged 15 years and over who are primary carers (no.) (Data year: 2018),Persons aged 15 years and over who are primary carers (%) (Data year: 2018),Persons who are non-primary carers (no.) (Data year: 2018),Persons who are non-primary carers (%) (Data year: 2018),"Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (no.) (Data year: 2018)","Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (%) (Data year: 2018)",Persons with disability who need assistance or have difficulty with personal/health care (no.) (Data year: 2018),Persons with disability who need assistance or have difficulty with personal/health care (%) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (no.) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (%) (Data year: 2018),Persons who have need for assistance with core activities (no.) (Data year: 2021),Persons who have need for assistance with core activities (%) (Data year: 2021),Persons with long-term health condition(s): Arthritis (%) (Data year: 2021),Persons with long-term health condition(s): Asthma (%) (Data year: 2021),Persons with long-term health condition(s): Cancer (including remission) (%) (Data year: 2021),Persons with long-term health condition(s): Dementia (including Alzheimer's) (%) (Data year: 2021),Persons with long-term health condition(s): Diabetes (excluding gestational diabetes) (%) (Data year: 2021),Persons with long-term health condition(s): Heart disease (including heart attack or angina) (%) (Data year: 2021),Persons with long-term health condition(s): Kidney disease (%) (Data year: 2021),Persons with long-term health condition(s): Lung condition (including COPD or emphysema) (%) (Data year: 2021),Persons with long-term health condition(s): Mental health condition (including depression or anxiety) (%) (Data year: 2021),Persons with long-term health condition(s): Stroke (%) (Data year: 2021),Persons with other long-term health condition(s) (%) (Data year: 2021),Persons with no long-term health condition(s) (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
226,32080,Cairns,1689.3227,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32080,43844,24369,14.9,7986,4.9,13546,8.3,16075,9.8,5853,4.5,10477,6.4,10364,8,13135,8,5567,4.4,3718,2.6,1524,1.1,8963,5.4,7.2,6.4,2.8,0.7,4,3.5,0.8,1.7,7.9,0.9,7.7,60,b3bb5329-080e-4780-9418-b71c2f705a05,0.143469664415306,3.07899018530178
227,32250,Carpentaria,64121.0123,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32250,323,,,,,,,,,,,,,,,,,,,,,,,54,2.6,6.4,6.5,1.7,1,7.3,3.9,0.9,1.2,4.6,0.2,5.8,61.5,75b94468-cc21-43ee-8854-66970df260ea,5.45484868030758,20.228205823382
228,32260,Cassowary Coast,4687.824,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32260,6873,6744,23,1952,6.7,3597,12.3,4045,13.8,1348,5.7,2245,7.7,2327,9.8,3076,10.5,1344,5.7,738,3.1,270,1.1,1980,6.8,10.9,6.6,3.5,1,5.6,5.3,1.2,2.6,7.4,1.2,7,55.6,1aa86d46-869a-4d40-b51b-3a4df9a543f9,0.399845993370263,7.26480833658895
229,32270,Central Highlands (Qld),59834.8359,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32270,9872,2879,13.1,915,4.2,1751,8,1925,8.8,658,4,1216,5.5,1115,6.8,1678,7.6,752,4.7,602,3,215,1.1,950,3.4,5.4,7.6,2,0.2,3.4,2.7,0.6,1.5,7,0.6,5.4,61.1,abfa7eb2-5c23-4466-85f8-39024f40ec32,5.31084277538434,18.8752489551202
230,32310,Charters Towers,68382.1644,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32310,3165,2215,19.6,767,6.8,1413,12.5,1781,15.8,493,5.5,1190,10.5,958,10.7,1193,10.6,610,6.9,314,3.4,116,1.3,749,6.4,9,8.4,3.3,1.1,5.5,5.5,1.2,2.3,7.6,0.9,6,53.3,43f17b39-6a21-466c-af55-796c42ecbc2c,5.90883555435107,16.8568045808047
231,32330,Cherbourg,31.6002,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32330,,,,,,,,,,,,,,,,,,,,,,,,51,4.3,2.7,4.3,1,0.8,10.5,5.6,2.9,1.4,4.1,1.6,6.5,67.7,3426d963-7dd6-40a4-9934-604a55c00a68,0.00285579530122959,0.372955686659483
232,32450,Cloncurry,47971.2595,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32450,714,,,,,,,,,,,,,,,,,,,,,,,95,2.6,3.7,6.9,2,0.4,5.5,2.8,0.4,1,4.9,0.4,4.2,59.5,78211f52-e9fb-4fcf-81a6-5871ebd00d68,4.16293838666638,15.7761936031863
233,32500,Cook,105717.7521,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32500,591,,,,,,,,,,,,,,,,,,,,,,,172,3.8,6.6,4.6,2.3,0.4,3.7,2.9,0.8,1.9,5.1,0.8,5.2,56.5,261a8c55-b451-4595-8394-958a02e42fe0,8.85595007193751,34.6211334436056
234,32600,Croydon,29497.9025,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32600,48,,,,,,,,,,,,,,,,,,,,,,,7,2.6,3.9,3.9,1.2,,3.5,3.1,,1.6,4.3,,2.7,61.1,07de2f7d-ed1f-4716-8097-b765e7d2bd01,2.524527256993,10.7421345109741
235,32750,Diamantina,94722.429,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32750,60,,,,,,,,,,,,,,,,,,,,,,,6,2.3,2.6,7.9,,,1.9,3,,,4.1,,2.3,52.3,f89eff65-0db3-4bbd-b695-132e9ec5ee20,8.44655709732388,15.6812048474207
236,32770,Doomadgee,1827.6518,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32770,33,,,,,,,,,,,,,,,,,,,,,,,34,2.5,1.7,2.3,,0.7,3.5,4.6,0.7,0.4,1.1,,4.3,79,18f654a8-170b-418b-8568-a003d983891c,0.155569828745683,2.40087134602982
237,32810,Douglas,2427.8626,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32810,2964,2455,20.5,631,5.3,1110,9.3,1360,11.3,505,5,681,5.7,773,7.7,1107,9.2,445,4.5,262,2.6,104,1,609,4.9,7.8,5.8,3.2,0.7,3.7,4.2,0.8,2.2,7.2,0.9,6.7,58.4,39592cf1-8e4d-4f09-90f7-3642128cb056,0.205206727632003,3.65216316536208
238,33100,Etheridge,39199.2956,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33100,190,,,,,,,,,,,,,,,,,,,,,,,31,4.3,8.8,3.6,3.2,,3.5,6,1.1,2.4,5,1,3.8,61.7,eaddb895-eaa9-495d-a504-9fc4e3ccb751,3.35381948566373,9.75843627455002
239,33200,Flinders (Qld),41199.9375,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33200,553,,,,,,,,,,,,,,,,,,,,,,,64,4.3,7.7,9.5,3.4,0.3,5.5,5.7,1.5,1.9,5.1,1.2,5.3,53.1,ed8ae3f3-21e6-46cf-9e41-6713782015a5,3.57868686041616,10.4039400267187
240,33220,Fraser Coast,7104.5984,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33220,21016,32624,31.4,11304,10.9,16357,15.7,15160,14.6,6425,7.5,7858,7.6,13701,15.9,17184,16.5,7444,8.8,4704,6.2,1072,1.4,11996,10.8,16.4,10.2,5,1.2,6.9,7.3,1.6,4.8,12.8,1.8,10.8,46.3,de44e0fa-7997-465d-a730-bec0c3313c58,0.638043326018533,10.2944070821879
241,33360,Gladstone,10484.2861,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33360,21446,11550,18.4,3095,4.9,5814,9.3,6599,10.5,2344,4.9,4578,7.3,3916,8.1,5612,9,2411,5.1,1547,2.8,611,1.1,3663,5.8,8.5,8,2.7,0.4,4.6,3.6,0.8,2.3,9.6,0.8,7.6,58.6,4f8e4fcb-8559-4b98-9855-477c497f9e0d,0.931560167070984,12.5680803892628
242,33430,Gold Coast,1333.386,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33430,196697,105481,17.6,28497,4.7,45831,7.6,59826,10,20398,4.2,38823,6.5,34073,7,48594,8.1,22760,4.7,10832,2.1,4815,1,34233,5.5,8.3,7.7,3.1,0.8,3.6,3.7,0.9,1.9,8.4,0.9,7.8,60.4,a25c9363-0713-4dd0-8091-e1ffd4b95815,0.122303288337662,4.2176750367557
243,33610,Goondiwindi,19265.7098,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33610,3700,1815,17,577,5.4,1187,11.1,1166,10.9,403,4.9,674,6.3,627,7.6,771,7.2,394,4.8,253,2.9,103,1.2,573,5.6,9.5,9.4,2.8,0.6,5.1,4,1,2.1,7.2,0.9,6.5,56.6,4addb56d-b351-489d-9e2f-12f44a5dddc5,1.77350803931768,10.9317173141378
244,33620,Gympie,6883.9781,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33620,11133,16771,32.7,5043,9.8,7581,14.8,8978,17.5,3205,7.7,5325,10.4,6041,14.5,9217,18,3610,8.8,2226,5.6,578,1.5,5171,9.7,13.7,9,4.2,0.9,5.9,5.9,1.3,3.7,12,1.4,10.2,50.2,51b2c2f9-178a-4262-a101-8dcb43c41d09,0.621400874912979,7.26482425414845
245,33800,Hinchinbrook,2807.1889,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33800,3720,2357,22.5,774,7.4,1541,14.7,1750,16.7,514,5.8,1263,12,1090,12.3,1214,11.6,637,7.3,236,3.1,56,0.7,901,8.3,12.8,7.4,4.2,1.5,6.7,6.7,1.3,2.9,8.5,1.4,7.7,52.8,9b96a3d8-b50d-4abe-b76f-268a57303ba3,0.240385260597805,3.26986437829199
246,33830,Hope Vale,1111.7099,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33830,27,,,,,,,,,,,,,,,,,,,,,,,25,2.6,1.7,2.7,,0.3,10.5,2.8,0.9,,1.7,0.5,2.6,69.4,4eb442df-a97e-44ef-85b6-6e11a0a8065a,0.0934909796478678,2.86582567832851
247,33960,Ipswich,1093.8562,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33960,54039,37191,17.6,10883,5.1,17794,8.4,20537,9.7,7807,4.9,13392,6.3,12597,7.9,19846,9.4,8764,5.6,5556,2.9,2117,1.1,15072,6.6,8.6,10.6,2.5,0.4,5.1,3.5,0.9,2.1,11.8,0.9,9.1,56.8,8e7850d6-0d0d-44c6-9957-fc1a3df269f2,0.100047934818122,2.43656274379113
248,33980,Isaac,58707.9192,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33980,7187,2309,11.1,866,4.2,1568,7.5,1740,8.3,566,3.6,1042,5,989,6.4,1529,7.3,710,4.6,543,2.8,233,1.2,489,2.2,4.1,7,1.5,0.2,2.5,1.8,0.5,1.2,5.4,0.5,4,56.7,a5813918-1247-4a34-80b9-d9ae3796d35d,5.1430690772338,19.6396835215547
249,34420,Kowanyama,2555.3325,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34420,27,,,,,,,,,,,,,,,,,,,,,,,28,2.6,1.7,1.2,0.4,,10,7,1.4,0.7,1.2,0.3,2,54.9,b330ba29-8994-46c2-9d27-83166a954153,0.21503497759204,2.70647410583245
250,34530,Livingstone,11757.8686,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34530,13608,8795,24.1,2251,6.2,4203,11.5,5616,15.4,1570,5.3,3725,10.2,2972,10.1,4124,11.3,1829,6.3,885,3,317,1.1,2235,5.7,10.4,7.7,3.5,0.7,4.7,4.9,1,2.7,8.4,1,7.3,54.6,60e2e8fe-bbbc-483b-a61c-57e114b2e8c4,1.03408316685704,16.3742108497882
251,34570,Lockhart River,3576.6839,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34570,,,,,,,,,,,,,,,,,,,,,,,,9,1.4,0.6,,,,4.4,2.4,,,2.2,,1.3,67.5,65e879d0-2ae8-49a5-aaf3-d0ee841c81b8,0.298017954594229,4.7261660525717
252,34580,Lockyer Valley,2269.0054,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34580,9840,9119,22.6,2650,6.6,4489,11.1,4612,11.4,1826,5.6,2835,7,3513,10.9,4300,10.7,2288,7.2,1076,3.2,411,1.2,3148,7.7,11.8,10,3.4,0.7,5.6,4.6,1.1,2.8,11.9,1,9.2,52.7,608db11b-441c-49b1-9267-182b23accd8c,0.207489007974345,3.0483316080532
253,34590,Logan,958.1333,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34590,70679,52800,16.3,18084,5.6,27052,8.3,35414,10.9,12075,4.8,22560,7,21839,8.8,29634,9.1,12622,5.2,8464,3,3295,1.2,22933,6.6,8.5,9.8,2.5,0.6,5.2,3.8,1,2.1,10,1,8.7,57.4,e4bd8cb4-6ca4-4a9a-9b02-dd8d37d6fc65,0.0877101162473082,2.10006681112904
254,34710,Longreach,40572.2442,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34710,1144,,,,,,,,,,,,,,,,,,,,,,,183,5,7.2,7.7,2.6,1.4,4.7,3.9,1.1,1.7,8,0.8,6.9,55.8,7c6e2f9f-a34c-4441-8721-212366d4dc77,3.59263441383655,11.3054076576992
255,34770,Mackay,7613.2963,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34770,43690,21400,18.5,5902,5.1,11673,10.1,13305,11.5,4247,4.7,9352,8.1,7974,8.7,10315,8.9,4949,5.5,2756,2.7,1050,1,6071,5,8.1,7.8,2.7,0.7,4.7,4.2,1,1.9,8,0.9,6.7,57.8,ab13ae90-b504-4b36-a031-e32d39ef3cf6,0.661989042742789,10.6126392658291
256,34800,McKinlay,40736.7989,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34800,330,,,,,,,,,,,,,,,,,,,,,,,23,2.8,7.7,6.8,1,0.7,2.5,2.8,1.4,2.3,4.6,1.3,3.5,55.1,090a6c84-df76-412a-bae9-d8fe32f0ab23,3.5284886780662,11.698187959731
257,34830,Mapoon,537.2366,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34830,,,,,,,,,,,,,,,,,,,,,,,,20,4.6,2.6,4.7,,,4.7,3.5,,,4.4,,7.3,59,b925ad7e-47cf-445b-8111-a443861b596c,0.044618277641689,2.27095412073578
258,34860,Maranoa,58719.3449,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34860,4267,1008,14.7,326,4.8,614,9,814,11.9,236,4.5,381,5.6,325,6.2,431,6.3,187,3.6,123,2,65,1.1,513,4,8.3,9.8,2.8,0.4,4.4,4.1,0.9,1.9,7.4,0.7,5.5,55.6,3e265fcf-4c4a-46a2-9505-c984c810abd5,5.3186747742966,14.3841372715323
259,34880,Mareeba,53491.0502,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34880,5261,4444,20.7,1459,6.8,2482,11.5,2729,12.7,967,5.5,1560,7.2,1675,9.6,2396,11.1,1068,6.2,556,3.2,213,1.2,1270,5.6,8.2,5.8,2.8,0.7,4.6,4.3,1.1,2.1,6.6,0.9,6.3,54.9,8c11f558-0b16-4833-b72f-3da654138928,4.53882534577792,12.8666011301883
260,35010,Moreton Bay,2041.4737,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35010,132328,94313,20.7,25198,5.5,43013,9.5,50238,11.1,17806,5,32458,7.1,32487,9.1,44307,9.7,20460,5.8,10563,2.7,4404,1.1,33740,7.1,10.3,9.9,3.5,0.8,5.2,4.8,1.1,2.6,11.6,1,9.9,55,ab14dfcb-1a64-4de6-80ac-4c3ab3cc673f,0.185817552233402,3.70768769003455
261,35250,Mornington,1247.6932,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35250,33,,,,,,,,,,,,,,,,,,,,,,,35,3.4,2,3,0.7,0.9,7.5,5.5,3.4,0.9,2.6,,3.4,71.1,55fc7b74-93b1-40ad-9bec-70b2591eecbc,0.105674098726013,5.08631364946642
262,35300,Mount Isa,43715.1975,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35300,5367,2275,12.3,773,4.2,1303,7,1536,8.3,533,3.8,732,4,559,4,994,5.4,651,4.7,367,2.1,171,1,609,3.3,4.4,7,1.5,0.5,4.7,3,1,1.1,5.4,0.6,5.3,63.7,6a0abe09-1c25-43db-af88-ee1389d40801,3.77265704670208,11.8775145672102
263,35600,Murweh,40699.7586,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35600,1071,,,,,,,,,,,,,,,,,,,,,,,245,6.2,10.8,9.7,3.1,0.7,6.3,5.4,1.4,2.7,7.5,1.1,6.8,52.4,64c71ad0-bb1f-4cd6-a6f4-528eee3491b4,3.67537720277187,13.4718633256247
264,35670,Napranum,2004.3468,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35670,24,,,,,,,,,,,,,,,,,,,,,,,14,1.6,,2.8,0.6,,7.3,3.3,1.5,0.6,0.5,0.5,3,59.6,1d217f4d-6321-41a8-b663-8b87d336d69e,0.166662847748398,6.14758487097349
265,35740,Noosa,869.8657,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35740,19932,13322,24.2,2922,5.3,6373,11.6,6591,12,2389,5.2,4022,7.3,3759,8.2,5106,9.3,2721,6,1013,2.4,390,0.9,3176,5.6,10.7,7.3,4.4,0.9,3.3,5.1,0.8,2.4,8,1.2,8.3,57.4,60e5e338-7fe1-40f1-a4a3-bd9daec7ea62,0.0786381953955697,1.68510644337769
266,35760,North Burnett,19669.8489,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35760,2543,2525,24.1,785,7.5,1462,13.9,1807,17.2,508,5.9,904,8.6,999,11.6,1414,13.5,529,6.2,266,3.3,93,1.2,810,8,13.4,8.7,4,1.3,6.4,6.3,1.1,2.8,8.9,1.3,8.2,50.6,c60af72b-651b-469b-b888-43b7e6e4783a,1.76403837401585,9.17933290732783
267,35780,Northern Peninsula Area,1052.0676,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35780,85,,,,,,,,,,,,,,,,,,,,,,,51,1.8,1.7,3.5,0.1,0.2,5.7,2.1,0.3,0.4,1.2,0.2,2,69.5,658e10b7-5591-4522-b4af-efa379919858,0.0870274207019293,2.59289547551772
268,35790,Palm Island,71.9928,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35790,51,,,,,,,,,,,,,,,,,,,,,,,70,3.3,1.3,3,0.1,0.7,7.2,4.3,0.8,0.4,2.4,0.3,3.4,75,97050e41-d5e4-4fb5-9940-5ae8f61df77c,0.00616733646120338,0.950335587669453
269,35800,Paroo,47614.9225,https://linked.data.gov.au/dataset/asgsed3/LGA2021/35800,333,,,,,,,,,,,,,,,,,,,,,,,103,6.1,10.2,13.4,2.5,1,7.5,4.4,1.9,2.9,7.4,1.7,6.5,56.1,3358ce7d-8da0-4ea0-8721-d23794d8229d,4.37126207581036,11.0151785186528
270,36070,Pormpuraaw,4395.3654,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36070,21,,,,,,,,,,,,,,,,,,,,,,,24,3.9,2.6,2.9,,,10.4,6.3,0.8,,3.3,,1.8,56.4,e9fea968-fc91-4fd1-9260-ca4fe2a88014,0.368885937865571,3.04300908682048
271,36150,Quilpie,67414.6563,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36150,311,,,,,,,,,,,,,,,,,,,,,,,31,4.4,9,11.2,2.6,1,6.7,4.4,1,2.3,8,,5.1,57.9,cf3d7704-d755-495a-8cd8-3226f6904c21,6.09599816746368,14.345914353119
272,36250,Redland,537.1672,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36250,55525,28651,18.5,7906,5.1,14940,9.6,17441,11.2,5828,4.7,12459,8,9624,7.7,12890,8.3,6364,5.2,3225,2.5,1173,0.9,10591,6.7,10.5,9.3,3.8,0.9,5.1,5.2,1,2.4,10.3,1.2,9.9,56.4,2fa93934-c8fd-4d1d-892e-ad05a59d4d13,0.0490885429785521,3.33111129056318
273,36300,Richmond,26580.748,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36300,304,,,,,,,,,,,,,,,,,,,,,,,22,2.9,5.2,7,0.8,,3.6,2.7,,0.7,5.1,0.4,4.4,56.1,c09b14a1-9d33-4e8c-a9f6-50bce6de52da,2.30237516385932,8.27803831011702
274,36370,Rockhampton,6570.2667,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36370,23377,18866,23.8,4912,6.2,8859,11.2,10788,13.6,3241,5.2,7310,9.2,6406,10.2,9183,11.6,4355,7.1,2192,3.2,797,1.2,6180,7.5,10.4,10.1,3.1,0.9,5.6,5.2,1.3,2.7,11,1.2,8.6,53.4,9a0ab61a-64bc-445c-a7a2-8f66344305a4,0.580561725972757,5.45471938902496
275,36510,Scenic Rim,4243.0014,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36510,11677,10113,24.1,2727,6.5,4795,11.4,5951,14.2,1939,5.7,3352,8,3225,9.5,4309,10.2,2445,7.3,1013,3,401,1.2,2912,6.8,11.5,9.2,3.8,0.7,5,5.1,1.1,2.6,10.1,1.2,9,53.6,c00b4406-8ffa-47fa-908b-d92a138a533f,0.389473816302598,3.88535382767872
276,36580,Somerset,5373.4335,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36580,5536,6179,24.1,1656,6.4,3159,12.3,3270,12.7,1297,6.4,1868,7.3,2299,11.3,2906,11.3,1518,7.6,698,3.4,270,1.3,2072,8.3,13.1,10.7,3.9,0.6,6.4,5.5,1.3,3.4,12,1.3,9.5,51.4,a1f3efda-fb3a-4d4e-8c0f-2b6f879c7e9f,0.488635896253982,5.4590014146574
277,36630,South Burnett,8381.558,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36630,6626,9935,30.9,3150,9.8,4766,14.8,5517,17.2,1935,7.5,2936,9.1,3542,13.7,5478,17.1,2111,8.3,1511,6.1,328,1.3,3287,10,14,10,4,0.9,6.5,6.2,1.4,3.5,12.3,1.6,10.1,48.2,466234ac-1303-4a65-a916-e219f3a86086,0.758235855672183,6.10229112532057
278,36660,Southern Downs,7106.436,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36660,9369,8599,24.4,2235,6.3,4737,13.4,4536,12.9,1694,5.9,3154,8.9,3263,11.4,4065,11.5,1892,6.7,966,3.6,293,1.1,2881,7.9,12.8,9.4,3.8,0.9,6.2,5.8,1.3,3,10,1.4,8.5,51.9,8947cf25-a8ab-4d5f-a11e-534f9e8b43a4,0.654377807020865,5.63354831160246
279,36720,Sunshine Coast,2253.8522,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36720,112481,63247,20,17142,5.4,31564,10,31730,10,12879,5,17527,5.5,22177,8.6,27799,8.8,14320,5.6,6279,2.5,2430,1,21211,6.2,10.5,8.1,3.8,0.9,3.7,4.7,0.9,2.2,9.4,1.1,8.7,57.5,d8a0f550-13c2-4e8f-95d3-95bfb1e81bf1,0.204399651938729,3.41018304369679
280,36820,Tablelands,11292.8695,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36820,6626,5596,22.2,1672,6.6,3276,13,3383,13.4,1214,5.9,2224,8.8,2129,10.3,3025,12,1279,6.3,651,3.4,217,1.1,1698,6.5,10,7,3.8,0.8,5,5.2,1.1,2.4,8,1.2,7.8,54.3,ba2aed47-701b-4bb4-9ebb-4518ae20bd65,0.963072478791673,7.14020973618297
281,36910,Toowoomba,12957.2103,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36910,57070,32903,20,9666,5.9,17303,10.5,18176,11,6626,5.1,11926,7.2,13244,10.2,16583,10.1,8284,6.5,3871,2.8,1447,1.1,12181,7,10.7,9.9,3.4,0.9,5.2,4.9,1.1,2.1,10.9,1.1,8.9,55.5,c13cbbc0-413b-40cc-b1d9-845f167fbf6a,1.18424321537054,8.18088018188878
282,36950,Torres,883.7402,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36950,369,,,,,,,,,,,,,,,,,,,,,,,111,3.2,2.7,5.3,1.1,0.4,6.5,2.7,1.2,0.8,2.9,0.1,4.1,69.9,e6b5e6c6-ef6f-4b7c-a819-a65741cb1b32,0.0730400735830017,7.55309487637546
283,36960,Torres Strait Island,490.0453,https://linked.data.gov.au/dataset/asgsed3/LGA2021/36960,62,,,,,,,,,,,,,,,,,,,,,,,142,3.4,1.7,3.5,0.4,0.3,8.9,2.9,1,0.4,0.8,0.4,3,72.9,712cdf86-03bf-497e-8559-963d7d1a4ef7,0.0403936222675156,2.78274637559339
284,37010,Townsville,3730.8199,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37010,55973,31492,16.5,10008,5.2,17457,9.1,23681,12.4,6914,4.5,16041,8.4,13608,8.9,17044,8.9,6596,4.4,4564,2.7,1800,1.1,11362,5.9,8.8,8.1,3,0.7,4.6,4,1,2,10.4,0.9,8.3,56.5,df6b70b6-9f6d-45d0-9aa9-0dbde3283cad,0.320845653763399,4.91912931518255
285,37300,Weipa,10.4643,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37300,1629,,,,,,,,,,,,,,,,,,,,,,,84,2,2.7,4.8,1.2,0.2,2.2,1.1,0.3,0.4,3.9,0.2,4.1,68.3,6ed1cf9f-b1f2-4414-aee8-f0eccb641a87,0.000870677921852803,0.31902839797233
286,37310,Western Downs,37922.5007,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37310,9972,6361,18.7,2300,6.8,3497,10.3,3539,10.4,1389,5.3,1981,5.8,2263,8.6,3325,9.8,1437,5.6,1057,3.7,338,1.2,2182,6.4,9.6,10.2,3,0.6,5.4,4.4,1.1,2.1,9.9,1.1,7.1,54.1,fe11cbad-0777-48b0-8f15-9356bae13fdb,3.44363935808769,12.7234391625724
287,37340,Whitsunday,23818.9729,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37340,9825,5769,16.6,1625,4.7,3549,10.2,3485,10,1264,4.5,2124,6.1,2441,8.6,2573,7.4,1261,4.5,741,2.5,298,1,1876,5,7.9,6.8,2.8,0.7,4.1,3.8,0.8,2.1,7.6,0.9,6.3,57.7,2b197297-9322-46a1-8f1e-d869f464b186,2.06523337805788,15.7387996219132
288,37400,Winton,53813.4826,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37400,393,,,,,,,,,,,,,,,,,,,,,,,45,4,8.5,9.1,3.1,0.4,6.3,3.3,1.1,1.3,4.2,1.1,4.5,53.8,ea05245f-f78c-4ae3-a258-df1520f73805,4.72431609857813,12.7330054207447
289,37550,Woorabinda,390.5578,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37550,22,,,,,,,,,,,,,,,,,,,,,,,40,3.9,3.8,7.5,0.3,,10.8,5,0.6,0.8,3.6,0.3,4.1,62.4,72c7fa82-7b86-4e2e-a70a-06ed9c8d06d0,0.0346414598720912,1.73962333887361
290,37570,Wujal Wujal,11.842,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37570,,,,,,,,,,,,,,,,,,,,,,,,5,1.8,2.1,2.9,,,13.6,5.7,1.1,,,,3.6,62.9,9a40370e-da36-4f1c-b81f-69881e36be6c,0.000999650093035598,0.257410402132843
291,37600,Yarrabah,158.8381,https://linked.data.gov.au/dataset/asgsed3/LGA2021/37600,52,,,,,,,,,,,,,,,,,,,,,,,86,3.4,1.8,4.5,0.8,1,9,5.3,1,1,2.8,0.4,5.4,68.7,8f8ba4f1-48f6-4fa8-93a6-037649b22899,0.0134779318013898,0.983645238666729
