OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Median equivalised total household income (weekly) ($) (Data year: 2021),Median household income (yearly)
221,31000,Brisbane,1342.7173,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31000,1284,66768
222,31750,Bulloo,73722.0101,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31750,1156,60112
223,31820,Bundaberg,6431.0889,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31820,742,38584
224,31900,Burdekin,5043.9318,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31900,891,46332
225,31950,Burke,39681.2234,https://linked.data.gov.au/dataset/asgsed3/LGA2021/31950,991,51532
226,32080,Cairns,1689.3227,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32080,1012,52624
227,32250,Carpentaria,64121.0123,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32250,937,48724
228,32260,Cassowary Coast,4687.824,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32260,783,40716
229,32270,Central Highlands (Qld),59834.8359,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32270,1276,66352
230,32310,Charters Towers,68382.1644,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32310,856,44512
231,32330,Cherbourg,31.6002,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32330,452,23504
232,32450,Cloncurry,47971.2595,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32450,1230,63960
233,32500,Cook,105717.7521,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32500,774,40248
234,32600,Croydon,29497.9025,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32600,888,46176
235,32750,Diamantina,94722.429,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32750,1224,63648
236,32770,Doomadgee,1827.6518,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32770,473,24596
237,32810,Douglas,2427.8626,https://linked.data.gov.au/dataset/asgsed3/LGA2021/32810,865,44980
238,33100,Etheridge,39199.2956,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33100,825,42900
239,33200,Flinders (Qld),41199.9375,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33200,935,48620
240,33220,Fraser Coast,7104.5984,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33220,683,35516
241,33360,Gladstone,10484.2861,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33360,1016,52832
242,33430,Gold Coast,1333.386,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33430,1034,53768
243,33610,Goondiwindi,19265.7098,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33610,893,46436
244,33620,Gympie,6883.9781,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33620,705,36660
245,33800,Hinchinbrook,2807.1889,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33800,781,40612
246,33830,Hope Vale,1111.7099,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33830,457,23764
247,33960,Ipswich,1093.8562,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33960,987,51324
248,33980,Isaac,58707.9192,https://linked.data.gov.au/dataset/asgsed3/LGA2021/33980,1568,81536
249,34420,Kowanyama,2555.3325,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34420,477,24804
250,34530,Livingstone,11757.8686,https://linked.data.gov.au/dataset/asgsed3/LGA2021/34530,997,51844
